Rank,Team,Run,,F1 (macro),
1,pliu19,528235,,0.828622767,
2,vradivchev_anikolov,528328,,0.81528924,
3,lukez,526344,,0.813562459,
4,Andrazp,527840,,0.807789991,
5,dxmahata,528381,,0.806623895,
6,ecwu,527070,,0.805699116,
7,donovanOng,528112,,0.803567172,
8,a.seganti,528122,,0.802794149,
9,wangbin,527099,,0.802383902,
10,aggarwalpiush,527371,,0.797991489,
11,BBirkeneder,526727,,0.794038239,
12,annis,528127,,0.793325255,
13,Vadym,528236,,0.789491507,
14,gregorwiedemann,528254,,0.788718553,
15,cainesap,528364,,0.787930416,
16,Ethan123,528232,,0.78770441,
17,nishnik,528367,,0.787266697,
18,alonzorz,527905,,0.786791184,
19,mz4315,549237,,0.785742462,
20,FraserPrice,544339,,0.785730838,
21,himanisoni,528081,,0.785379474,
22,samsam,527263,,0.785119837,
23,JU_ETCE_17_21,528075,,0.784391222,
24,DA-LD-Hildesheim,528258,,0.783334185,
25,sandro272,528117,,0.781733353,
26,ChenXiuling,526335,,0.779317424,
27,ghmerti,527995,,0.779317424,
28,ShawnGung,547102,,0.775735914,
29,safina,528225,,0.772937704,
30,Arjuniitp,527923,,0.771708353,
31,BolzanoWeierstrass,545666,,0.771706989,
32,dingyan,549294,,0.770058015,
33,vhsamy,548764,,0.770058015,
34,acambray,547548,,0.769291263,
35,zhangyaojie,527089,,0.768384668,
36,SM,528139,,0.768159075,
37,alex-obi,526806,,0.767599351,
38,p-christ,547197,,0.767081693,
39,na14,528351,,0.764932061,
40,KC3718,548669,,0.764632542,
41,jb3818,548591,,0.764167177,
42,PV318,548601,,0.764167177,
43,martinzlocha,549381,,0.762196201,
44,JiajunChen,549292,,0.762112742,
45,g.b.colborne,528286,,0.759440559,
46,imprasshant,528327,,0.759425407,
47,johnnytorres83,528321,,0.759137169,
48,vjarasse,548655,,0.759137169,
49,julianfmack,548741,,0.758643585,
50,Frisio41,549255,,0.757771402,
51,FBY,549344,,0.757365554,
52,abaruah,528106,,0.75671572,
53,MRK108,527736,,0.756479082,
54,zw5018,543548,,0.755820557,
55,bogdan27182,527749,,0.754676357,
56,RyanOng,548951,,0.754285714,
57,Rol,528083,,0.753722795,
58,map18,547237,,0.751046584,
59,Rohit,526980,,0.750221909,
60,resham,528220,,0.75003586,
61,Xcosmos,528090,,0.74935316,
62,adrianlwn,549184,,0.748752209,
63,jkolis,527376,,0.746785749,
64,xiaoxi,546057,,0.744608918,
65,sfh4518,543592,,0.744008114,
66,steve050798,528181,,0.743443958,
67,maxelliott456,549323,,0.743365534,
68,paulafortuna,527496,,0.741749595,
69,KVETHZ,528076,,0.739871149,
70,Nickeilf,548641,,0.739688798,
71,christoph.alt,528085,,0.738646309,
72,logesh,528170,,0.738221136,
73,Bharti,528388,,0.738220786,
74,bld18,545404,,0.736830462,
75,Ziv_Ben_David,527279,,0.736830462,
76,senbihan,545248,,0.735872236,
77,harry-uglow,549270,,0.735139097,
78,ecahn,527520,,0.73496929,
79,spd18,549427,,0.734413169,
80,Lst,526593,,0.734029449,
81,Gal_DD,527281,,0.732836285,
82,hbansal0122,528317,,0.732701706,
83,Emad,528378,,0.732459079,
84,Ferrari_1996,545612,,0.731427081,
85,jrusert,527616,,0.731365975,
86,sabino,528304,,0.730672067,
87,tpederse,527619,,0.730232558,
88,stefan.lauren,547710,,0.7294023,
89,Zeyad,527416,,0.728892193,
90,ShalomRochman,527481,,0.727906027,
91,stefaniehegele,528261,,0.72655841,
92,saroyehun,528360,,0.726161609,
93,ss11915,549159,,0.72552438,
94,alebonardi,549330,,0.724802013,
95,shuokabe,548045,,0.724306611,
96,skymont,549068,,0.723714126,
97,Elyash,527348,,0.723244154,
98,priyakmi,528195,,0.721392664,
99,RUG_OffenseEval,528343,,0.719410679,
100,christololov,547626,,0.718944681,
101,jaypee1996,527967,,0.718807107,
102,v.gambhir15,528023,,0.717692644,
103,kerner-jct.ac.il,527745,,0.716508439,
104,fmplaza,526558,,0.716340352,
105,apalmer,528077,,0.716260801,
106,tarunsab,547181,,0.713333333,
107,ayman,528334,,0.713065989,
108,Ruichen.Z,548816,,0.712716872,
109,krd115,549078,,0.712221533,
110,Geetika,528151,,0.709059671,
111,Cijee,542930,,0.707528484,
112,syzmony,549260,,0.70712981,
113,Taha,527490,,0.704922917,
114,justhalf,528382,,0.704428288,
