Rank,Team,Run,,F1 (macro),
1,vradivchev_anikolov,537192,,0.659694719,
2,a.seganti,536835,,0.628185963,
3,saradhix,537435,,0.625824544,
4,sandro272,536705,,0.62121883,
5,Andrazp,537489,,0.613343847,
6,mbastan,537462,,0.61289995,
7,alonzorz,536937,,0.590904162,
8,orabia,536723,,0.588159409,
9,arun95,536148,,0.587217791,
10,na14,537066,,0.585874136,
11,adrianlwn,549197,,0.580794253,
12,himanisoni,535890,,0.579671869,
13,sabino,536460,,0.576432153,
14,gregorwiedemann,535991,,0.575150732,
15,HHU,536947,,0.570873105,
16,SM,537108,,0.568599744,
17,logesh,537401,,0.563279644,
18,quanzhi,536989,,0.56126592,
19,mz4315,549243,,0.560627124,
20,pliu19,536508,,0.559830867,
21,vjarasse,549305,,0.55793195,
22,aggarwalpiush,535893,,0.556935709,
23,cainesap,537068,,0.553639097,
24,DA-LD-Hildesheim,537103,,0.553292464,
25,julianfmack,548743,,0.551779972,
26,zhangyaojie,536848,,0.548802674,
27,FBY,549342,,0.547697822,
28,Elena_Shushkevich,536587,,0.547339836,
29,ss11915,549162,,0.544192563,
30,Frisio41,549252,,0.541468215,
31,FraserPrice,544351,,0.540464117,
32,g.b.colborne,537209,,0.534942895,
33,ShawnGung,547105,,0.533358321,
34,stefan.lauren,548347,,0.53136273,
35,martinzlocha,549383,,0.526481812,
36,Gal_DD,537155,,0.52633012,
37,KVETHZ,537056,,0.526092202,
38,Cijee,547764,,0.52561741,
39,acambray,547552,,0.524457735,
40,sd4215,549352,,0.524357322,
41,lukez,537204,,0.524264816,
42,ChenXiuling,536910,,0.52312253,
43,Xcosmos,536931,,0.522561496,
44,p-christ,547611,,0.516539181,
45,Ferrari_1996,547118,,0.51610356,
46,jhan014,537236,,0.514873251,
47,abaruah,537481,,0.513418356,
48,murali_sr,537461,,0.513241147,
49,Ziv_Ben_David,537149,,0.510707071,
50,Zeyad,537008,,0.509296812,
51,annis,536519,,0.507901195,
52,christoph.alt,537488,,0.507594139,
53,jrusert,536714,,0.506129823,
54,steve050798,536976,,0.505554522,
55,ecwu,535873,,0.504675716,
56,Elyash,537173,,0.500183897,
57,JiajunChen,549096,,0.493966152,
58,hatzgionule,549359,,0.493166711,
59,la1515,549130,,0.492461409,
60,vhsamy,549328,,0.491773663,
61,Pardeep,536133,,0.490343943,
62,kerner-jct.ac.il,537159,,0.490284867,
63,dingyan,549313,,0.486930791,
64,Rol,537012,,0.486085742,
65,xiaoxi,546061,,0.483938256,
66,tpederse,535904,,0.483674518,
67,gretelliz92,537098,,0.483325796,
68,alextoma96,547298,,0.481464709,
69,saroyehun,536070,,0.480331263,
70,JU_ETCE_17_21,536886,,0.48005759,
71,AyushS,536990,,0.476078687,
72,bogdan27182,536454,,0.470052337,
73,Ruichen.Z,547758,,0.46845838,
74,Lst,537454,,0.465185417,
75,Marttinho,549133,,0.465018366,
76,mmfouad,536170,,0.464990624,
77,RyanOng,547628,,0.46270442,
78,BolzanoWeierstrass,547358,,0.461775362,
79,RobbieHolland,549215,,0.461697723,
80,imprasshant,537140,,0.458782941,
81,gt4118,545733,,0.457864042,
82,harry-uglow,549274,,0.456535762,
83,jb3818,548579,,0.452300997,
84,PV318,548582,,0.452300997,
85,KC3718,548671,,0.451753341,
86,shuokabe,549362,,0.45009402,
87,map18,547238,,0.449616283,
88,alebonardi,549409,,0.446732541,
89,priyakmi,536765,,0.443740065,
90,Nickeilf,548702,,0.441716709,
91,christololov,547250,,0.441269841,
92,j4freeman,546013,,0.43697479,
93,krd115,549080,,0.436817616,
94,mking,537246,,0.430979008,
95,apalmer,537378,,0.429762744,
96,balangheorghe,536528,,0.429542881,
97,ayman,537501,,0.420729029,
98,ShalomRochman,537179,,0.420426773,
99,az4918,548838,,0.419355572,
100,ib_john,549244,,0.416397904,
101,Taha,537139,,0.407473973,
102,v.gambhir15,536952,,0.40130719,
103,tarunsab,548588,,0.393563097,
104,binxuankong,545389,,0.39298893,
105,hbansal0122,536917,,0.376932491,
106,TomFrench,548737,,0.368422688,
107,swt14,548865,,0.342616463,
108,Bharti,537360,,0.340391949,
109,garain,535813,,0.326164298,
110,hannahchong,544403,,0.321110181,
111,syzmony,549264,,0.318839897,
112,thenmozhid,536203,,0.300077017,
113,eliott15,548595,,0.300019037,
114,dianalungu725,536510,,0.249437837,
115,maxelliott456,549325,,0.222114032,
116,nlpnlpnlp,546801,,0.212992545,
117,Phlogiston90,546005,,0.212992545,
118,tn,548652,,0.212992545,
119,spd18,549429,,0.193524163,
