Rank,Team,Run,,,F1 (macro)
1,FraserPrice,544339,,,0.785730838
2,ShawnGung,547102,,,0.775735914
3,BolzanoWeierstrass,545666,,,0.771706989
4,acambray,547548,,,0.769291263
5,p-christ,547197,,,0.767081693
6,BolzanoWeierstrass,545676,,,0.761776786
7,vhsamy,547269,,,0.759696748
8,BolzanoWeierstrass,545664,,,0.758885438
9,BolzanoWeierstrass,545669,,,0.758885438
10,zw5018,543548,,,0.755820557
11,map18,547237,,,0.751046584
12,ShawnGung,543556,,,0.746264909
13,xiaoxi,546057,,,0.744608918
14,RyanOng,546023,,,0.744396571
15,sfh4518,543592,,,0.744008114
16,bld18,545404,,,0.736830462
17,senbihan,545248,,,0.735872236
18,maxelliott456,547754,,,0.73302038
19,Ferrari_1996,545612,,,0.731427081
20,stefan.lauren,547710,,,0.7294023
21,bld18,547313,,,0.727947133
22,bld18,547329,,,0.727947133
23,bld18,545403,,,0.721179256
24,bld18,543576,,,0.71950424
25,bld18,543577,,,0.71950424
26,bld18,547339,,,0.719110621
27,christololov,547626,,,0.718944681
28,christololov,547760,,,0.718944681
29,christololov,545272,,,0.714928732
30,tarunsab,547181,,,0.713333333
31,tarunsab,547247,,,0.713333333
32,christololov,547251,,,0.712328663
33,BolzanoWeierstrass,545739,,,0.711914113
34,Cijee,542930,,,0.707528484
35,Frisio41,547737,,,0.704553557
36,JiajunChen,547749,,,0.702034884
37,bld18,547338,,,0.701779047
38,vhsamy,543908,,,0.700847609
39,christololov,547622,,,0.698106395
40,bld18,547330,,,0.695603707
41,alextoma96,545999,,,0.695523404
42,j4freeman,546009,,,0.693686378
43,alebonardi,547475,,,0.692714708
44,alextoma96,547320,,,0.688194188
45,binxuankong,547231,,,0.687161388
46,Ferrari_1996,545621,,,0.675179725
47,alebonardi,547745,,,0.661124816
48,ib_john,547347,,,0.645282603
49,gt4118,545727,,,0.628840532
50,Ruichen.Z,547756,,,0.62435133
51,bld18,545401,,,0.56132024
52,bld18,545402,,,0.56132024
53,hatzgionule,545696,,,0.555823951
54,eliott15,547750,,,0.515865904
55,hannahchong,547293,,,0.511168486
56,hannahchong,544405,,,0.504932911
57,hatzgionule,547282,,,0.496899497
58,hatzgionule,547283,,,0.489012856
59,hatzgionule,547279,,,0.481074056
60,hatzgionule,547281,,,0.481074056
61,Nickeilf,546049,,,0.437891728
62,binxuankong,545385,,,0.418918919
63,bld18,547331,,,0.418918919
64,jkaddour,543195,,,0.418918919
65,Phlogiston90,546003,,,0.418918919
66,binxuankong,544984,,,0.285368217
67,xiaoxi,546058,,,0.219990652
