Rank,Team,Run,,,F1 (macro)
1,BolzanoWeierstrass,545667,,,0.692457249
2,Ferrari_1996,547111,,,0.686888454
3,FraserPrice,544332,,,0.651142508
4,FraserPrice,544333,,,0.651142508
5,tarunsab,547246,,,0.642790698
6,acambray,547543,,,0.64
7,acambray,547550,,,0.64
8,bld18,547332,,,0.63800905
9,Ferrari_1996,547110,,,0.633357297
10,bld18,547334,,,0.618181818
11,ib_john,547345,,,0.609171443
12,ShawnGung,547103,,,0.607779049
13,Cijee,547763,,,0.605555735
14,BolzanoWeierstrass,545675,,,0.603547209
15,binxuankong,547230,,,0.603130857
16,p-christ,547302,,,0.599904739
17,bld18,547333,,,0.58724387
18,vhsamy,547270,,,0.58724387
19,j4freeman,546014,,,0.577905159
20,hatzgionule,547284,,,0.575471698
21,RyanOng,547319,,,0.566666667
22,christololov,547249,,,0.560707749
23,hatzgionule,547285,,,0.550253668
24,Ruichen.Z,547757,,,0.54317772
25,alextoma96,547341,,,0.537777778
26,Ferrari_1996,547061,,,0.537777778
27,hannahchong,544404,,,0.537777778
28,stefan.lauren,547711,,,0.528167582
29,hatzgionule,547286,,,0.516808004
30,xiaoxi,546060,,,0.508837209
31,xiaoxi,546059,,,0.504726401
32,bld18,547335,,,0.502222222
33,alextoma96,547297,,,0.470198675
34,binxuankong,545387,,,0.470198675
35,BolzanoWeierstrass,545672,,,0.470198675
36,gt4118,545732,,,0.470198675
37,map18,547219,,,0.470198675
38,Phlogiston90,546004,,,0.470198675
39,bld18,547336,,,0.469026549
40,tarunsab,547182,,,0.38224536
41,christololov,547623,,,0.148521739
42,bld18,547337,,,0.101123596
