Rank,Team,Run,,,F1 (macro),,
1,gregorwiedemann,543528,,,0.547501748,,
2,FraserPrice,544351,,,0.540464117,,
3,ShawnGung,547105,,,0.533358321,,
4,Cijee,547764,,,0.52561741,,
5,acambray,547552,,,0.524457735,,
6,p-christ,547611,,,0.516539181,,
7,Ferrari_1996,547118,,,0.51610356,,
8,vhsamy,547271,,,0.488957775,,
9,xiaoxi,546061,,,0.483938256,,
10,alextoma96,547298,,,0.481464709,,
11,Ruichen.Z,547758,,,0.46845838,,
12,RyanOng,547628,,,0.46270442,,
13,BolzanoWeierstrass,547358,,,0.461775362,,
14,xiaoxi,546062,,,0.459837929,,
15,gt4118,545733,,,0.457864042,,
16,map18,547238,,,0.449616283,,
17,christololov,547250,,,0.441269841,,
18,j4freeman,546013,,,0.43697479,,
19,alextoma96,547323,,,0.41070962,,
20,binxuankong,545389,,,0.39298893,,
21,binxuankong,547229,,,0.373888889,,
22,hatzgionule,547287,,,0.351042269,,
23,hatzgionule,547288,,,0.331207697,,
24,hannahchong,544403,,,0.321110181,,
25,hatzgionule,547289,,,0.284227932,,
26,stefan.lauren,547712,,,0.281456954,,
27,ib_john,547371,,,0.27928123,,
28,ib_john,547370,,,0.252723312,,
29,christololov,547624,,,0.213929653,,
30,nlpnlpnlp,546801,,,0.212992545,,
31,nlpnlpnlp,546802,,,0.212992545,,
32,Phlogiston90,546005,,,0.212992545,,
33,tarunsab,547183,,,0.212992545,,
34,nlpnlpnlp,547762,,,0.21221865,,
