Team,Tasks,zip pw
BolzanoWeierstrass,"A,B,C",N/A
Cijee,"A,B,C",N/A
Ferrari_1996,"A,B,C",N/A
FraserPrice,"A,B,C",N/A
Frisio41,A,N/A
JiajunChen,A,N/A
Nickeilf,A,N/A
Phlogiston90,"A,B,C",N/A
Ruichen.Z,"A,B,C",N/A
RyanOng,"A,B,C",N/A
ShawnGung,"A,B,C",N/A
acambray,"A,B,C",N/A
alebonardi,A,N/A
alextoma96,"A,B,C",N/A
binxuankong,"A,B,C",N/A
bld18,"A,B",N/A
christololov,"A,B,C",N/A
eliott15,A,N/A
gregorwiedemann,C,N/A
gt4118,"A,B,C",N/A
hannahchong,"A,B,C",N/A
hatzgionule,"A,B,C",N/A
ib_john,"A,B,C",N/A
j4freeman,"A,B,C",N/A
jkaddour,A,N/A
map18,"A,B,C",N/A
maxelliott456,A,N/A
nlpnlpnlp,C,N/A
p-christ,"A,B,C",N/A
senbihan,A,N/A
sfh4518,A,N/A
stefan.lauren,"A,B,C",N/A
tarunsab,"A,B,C",N/A
vhsamy,"A,B,C",N/A
xiaoxi,"A,B,C",N/A
zw5018,A,N/A
