Team,Tasks
BolzanoWeierstrass,"A,B,C"
Cijee,"A,B,C"
FBY,"A,B,C"
Ferrari_1996,"A,B,C"
FraserPrice,"A,B,C"
Frisio41,"A,B,C"
JiajunChen,"A,B,C"
KC3718,"A,B,C"
Marttinho,"A,B,C"
Nickeilf,"A,B,C"
PV318,"A,B,C"
Phlogiston90,"A,B,C"
RobbieHolland,"A,B,C"
Ruichen.Z,"A,B,C"
RyanOng,"A,B,C"
ShawnGung,"A,B,C"
TomFrench,"A,B,C"
acambray,"A,B,C"
adrianlwn,"A,B,C"
alebonardi,"A,B"
alextoma96,"A,B,C"
avc4018,A
az4918,"A,B,C"
binxuankong,"A,B,C"
bld18,"A,B"
christololov,"A,B,C"
dingyan,"A,B,C"
eliott15,"A,B,C"
gregorwiedemann,C
gt4118,"A,B,C"
hannahchong,"A,B,C"
harry-uglow,"A,B,C"
hatzgionule,"A,B,C"
hw2918,B
ib_john,"A,B,C"
j4freeman,"A,B,C"
jb3818,"A,B,C"
jkaddour,A
julianfmack,"A,B,C"
kentheo,B
krd115,"A,B,C"
la1515,"A,B,C"
ll-g,A
map18,"A,B,C"
maxelliott456,"A,B,C"
mz4315,"A,B,C"
nlpnlpnlp,C
p-christ,"A,B,C"
sb718,A
sd4215,"A,B,C"
senbihan,A
sfh4518,A
shuokabe,"A,B,C"
skymont,A
ss11915,"A,B,C"
stefan.lauren,"A,B,C"
swt14,"A,B,C"
syzmony,"A,B,C"
tarunsab,"A,B,C"
tn,"A,B,C"
vhsamy,"A,B,C"
vjarasse,"A,B,C"
xiaoxi,"A,B,C"
zw5018,A
