Rank,Team,Run,,F1 (macro),
1,mz4315,549237,,0.785742462,
2,FraserPrice,544339,,0.785730838,
3,ShawnGung,547102,,0.775735914,
4,BolzanoWeierstrass,545666,,0.771706989,
5,dingyan,549294,,0.770058015,
6,vhsamy,548764,,0.770058015,
7,acambray,547548,,0.769291263,
8,p-christ,547197,,0.767081693,
9,KC3718,548669,,0.764632542,
10,jb3818,548591,,0.764167177,
11,PV318,548601,,0.764167177,
12,JiajunChen,549292,,0.762112742,
13,vjarasse,548655,,0.759137169,
14,julianfmack,548741,,0.758643585,
15,Frisio41,549255,,0.757771402,
16,FBY,549344,,0.757365554,
17,zw5018,543548,,0.755820557,
18,RyanOng,548951,,0.754285714,
19,map18,547237,,0.751046584,
20,adrianlwn,549184,,0.748752209,
21,xiaoxi,546057,,0.744608918,
22,sfh4518,543592,,0.744008114,
23,maxelliott456,549323,,0.743365534,
24,Nickeilf,548641,,0.739688798,
25,bld18,545404,,0.736830462,
26,senbihan,545248,,0.735872236,
27,harry-uglow,549270,,0.735139097,
28,Ferrari_1996,545612,,0.731427081,
29,stefan.lauren,547710,,0.7294023,
30,ss11915,549159,,0.72552438,
31,alebonardi,549330,,0.724802013,
32,shuokabe,548045,,0.724306611,
33,skymont,549068,,0.723714126,
34,christololov,547626,,0.718944681,
35,tarunsab,547181,,0.713333333,
36,Ruichen.Z,548816,,0.712716872,
37,krd115,549078,,0.712221533,
38,Cijee,542930,,0.707528484,
39,syzmony,549260,,0.70712981,
40,avc4018,548466,,0.703616571,
41,alextoma96,545999,,0.695523404,
42,j4freeman,546009,,0.693686378,
43,binxuankong,547231,,0.687161388,
44,hatzgionule,549310,,0.683543399,
45,ib_john,548661,,0.658273895,
46,Marttinho,549127,,0.657558476,
47,RobbieHolland,549213,,0.652810263,
48,az4918,548821,,0.635836292,
49,gt4118,545727,,0.628840532,
50,la1515,548648,,0.523920908,
51,eliott15,547750,,0.515865904,
52,sd4215,549367,,0.513822421,
53,hannahchong,547293,,0.511168486,
54,tn,548700,,0.502907201,
55,swt14,548900,,0.494635068,
56,TomFrench,548731,,0.483438706,
57,sb718,548740,,0.4766284,
58,ll-g,547775,,0.430213058,
59,jkaddour,543195,,0.418918919,
60,Phlogiston90,546003,,0.418918919,
