Rank,Team,Run,,F1 (macro),
1,adrianlwn,549189,,0.715679443,
2,RobbieHolland,549214,,0.69805895,
3,BolzanoWeierstrass,545667,,0.692457249,
4,mz4315,549240,,0.687437387,
5,Ferrari_1996,547111,,0.686888454,
6,Frisio41,549254,,0.676430935,
7,ss11915,549151,,0.670806302,
8,julianfmack,548742,,0.666048237,
9,map18,548527,,0.652777778,
10,RyanOng,548986,,0.651960942,
11,FraserPrice,544332,,0.651142508,
12,ib_john,548707,,0.648093842,
13,tarunsab,547246,,0.642790698,
14,acambray,547543,,0.64,
15,vhsamy,548762,,0.639350831,
16,bld18,547332,,0.63800905,
17,jb3818,548570,,0.636498267,
18,PV318,548567,,0.636498267,
19,hatzgionule,549333,,0.62962963,
20,shuokabe,549331,,0.618181818,
21,vjarasse,549308,,0.609171443,
22,ShawnGung,547103,,0.607779049,
23,KC3718,548670,,0.606885255,
24,Cijee,547763,,0.605555735,
25,binxuankong,547230,,0.603130857,
26,p-christ,547302,,0.599904739,
27,alebonardi,549340,,0.595027377,
28,sd4215,549353,,0.585897865,
29,Ruichen.Z,548818,,0.578497882,
30,j4freeman,546014,,0.577905159,
31,az4918,548825,,0.563636364,
32,christololov,547249,,0.560707749,
33,syzmony,549262,,0.560185185,
34,alextoma96,547341,,0.537777778,
35,hannahchong,544404,,0.537777778,
36,FBY,549343,,0.536363636,
37,stefan.lauren,547711,,0.528167582,
38,Marttinho,548603,,0.518647887,
39,TomFrench,548735,,0.51863047,
40,xiaoxi,546060,,0.508837209,
41,dingyan,549314,,0.506953224,
42,la1515,548646,,0.487523641,
43,gt4118,545732,,0.470198675,
44,harry-uglow,549271,,0.470198675,
45,kentheo,548758,,0.470198675,
46,Phlogiston90,546004,,0.470198675,
47,swt14,548888,,0.470198675,
48,hw2918,548341,,0.443155452,
49,eliott15,548594,,0.417529078,
50,krd115,549079,,0.16236912,
51,tn,548651,,0.111189118,
52,JiajunChen,549091,,0.101123596,
53,maxelliott456,549324,,0.101123596,
54,Nickeilf,548675,,0.101123596,
