Rank,Team,Run,,F1 (macro),
1,adrianlwn,549197,,0.580794253,
2,mz4315,549243,,0.560627124,
3,vjarasse,549305,,0.55793195,
4,julianfmack,548743,,0.551779972,
5,FBY,549342,,0.547697822,
6,gregorwiedemann,543528,,0.547501748,
7,ss11915,549162,,0.544192563,
8,Frisio41,549252,,0.541468215,
9,FraserPrice,544351,,0.540464117,
10,ShawnGung,547105,,0.533358321,
11,stefan.lauren,548347,,0.53136273,
12,Cijee,547764,,0.52561741,
13,acambray,547552,,0.524457735,
14,sd4215,549352,,0.524357322,
15,p-christ,547611,,0.516539181,
16,Ferrari_1996,547118,,0.51610356,
17,JiajunChen,549096,,0.493966152,
18,hatzgionule,549359,,0.493166711,
19,la1515,549130,,0.492461409,
20,vhsamy,549328,,0.491773663,
21,dingyan,549313,,0.486930791,
22,xiaoxi,546061,,0.483938256,
23,alextoma96,547298,,0.481464709,
24,Ruichen.Z,547758,,0.46845838,
25,Marttinho,549133,,0.465018366,
26,RyanOng,547628,,0.46270442,
27,BolzanoWeierstrass,547358,,0.461775362,
28,RobbieHolland,549215,,0.461697723,
29,gt4118,545733,,0.457864042,
30,harry-uglow,549274,,0.456535762,
31,jb3818,548579,,0.452300997,
32,PV318,548582,,0.452300997,
33,KC3718,548671,,0.451753341,
34,shuokabe,549362,,0.45009402,
35,map18,547238,,0.449616283,
36,Nickeilf,548702,,0.441716709,
37,christololov,547250,,0.441269841,
38,j4freeman,546013,,0.43697479,
39,krd115,549080,,0.436817616,
40,az4918,548838,,0.419355572,
41,ib_john,549244,,0.416397904,
42,tarunsab,548588,,0.393563097,
43,binxuankong,545389,,0.39298893,
44,TomFrench,548737,,0.368422688,
45,swt14,548865,,0.342616463,
46,hannahchong,544403,,0.321110181,
47,syzmony,549264,,0.318839897,
48,eliott15,548595,,0.300019037,
49,maxelliott456,549325,,0.222114032,
50,nlpnlpnlp,546801,,0.212992545,
51,Phlogiston90,546005,,0.212992545,
52,tn,548652,,0.212992545,
