Team,Tasks
BolzanoWeierstrass,"A,B,C"
Cijee,"A,B,C"
FBY,A
Ferrari_1996,"A,B,C"
FraserPrice,"A,B,C"
Frisio41,"A,C"
JiajunChen,A
KC3718,"A,B,C"
Marttinho,"A,B,C"
Nickeilf,"A,B,C"
PV318,"A,B,C"
Phlogiston90,"A,B,C"
Ruichen.Z,"A,B,C"
RyanOng,"A,B,C"
ShawnGung,"A,B,C"
TomFrench,"A,B,C"
acambray,"A,B,C"
alebonardi,A
alextoma96,"A,B,C"
avc4018,A
az4918,"A,B,C"
binxuankong,"A,B,C"
bld18,"A,B"
christololov,"A,B,C"
eliott15,"A,B,C"
gregorwiedemann,C
gt4118,"A,B,C"
hannahchong,"A,B,C"
hatzgionule,"A,B,C"
hw2918,B
ib_john,"A,B,C"
j4freeman,"A,B,C"
jb3818,"A,B,C"
jkaddour,A
julianfmack,"A,B,C"
kentheo,B
krd115,"A,B"
la1515,"A,B"
ll-g,A
map18,"A,B,C"
maxelliott456,A
nlpnlpnlp,C
p-christ,"A,B,C"
sb718,A
senbihan,A
sfh4518,A
shuokabe,A
stefan.lauren,"A,B,C"
swt14,"A,B"
tarunsab,"A,B,C"
tn,"A,B,C"
vhsamy,"A,B,C"
vjarasse,A
xiaoxi,"A,B,C"
zw5018,A
