Rank,Team,Run,,F1 (macro),
1,FraserPrice,544339,,0.785730838,
2,ShawnGung,547102,,0.775735914,
3,BolzanoWeierstrass,545666,,0.771706989,
4,vhsamy,548764,,0.770058015,
5,acambray,547548,,0.769291263,
6,p-christ,547197,,0.767081693,
7,KC3718,548669,,0.764632542,
8,jb3818,548591,,0.764167177,
9,PV318,548601,,0.764167177,
10,vjarasse,548655,,0.759137169,
11,julianfmack,548741,,0.758643585,
12,zw5018,543548,,0.755820557,
13,map18,547237,,0.751046584,
14,xiaoxi,546057,,0.744608918,
15,RyanOng,546023,,0.744396571,
16,sfh4518,543592,,0.744008114,
17,Nickeilf,548641,,0.739688798,
18,bld18,545404,,0.736830462,
19,senbihan,545248,,0.735872236,
20,maxelliott456,547754,,0.73302038,
21,Ferrari_1996,545612,,0.731427081,
22,stefan.lauren,547710,,0.7294023,
23,shuokabe,548045,,0.724306611,
24,christololov,547626,,0.718944681,
25,tarunsab,547181,,0.713333333,
26,Ruichen.Z,548816,,0.712716872,
27,krd115,548480,,0.708328623,
28,Cijee,542930,,0.707528484,
29,Frisio41,547737,,0.704553557,
30,avc4018,548466,,0.703616571,
31,JiajunChen,547749,,0.702034884,
32,alextoma96,545999,,0.695523404,
33,j4freeman,546009,,0.693686378,
34,alebonardi,547475,,0.692714708,
35,binxuankong,547231,,0.687161388,
36,ib_john,548661,,0.658273895,
37,az4918,548821,,0.635836292,
38,gt4118,545727,,0.628840532,
39,hatzgionule,545696,,0.555823951,
40,Marttinho,548604,,0.530072203,
41,la1515,548648,,0.523920908,
42,eliott15,547750,,0.515865904,
43,FBY,548730,,0.511975161,
44,hannahchong,547293,,0.511168486,
45,tn,548700,,0.502907201,
46,swt14,548900,,0.494635068,
47,TomFrench,548731,,0.483438706,
48,sb718,548740,,0.4766284,
49,ll-g,547775,,0.430213058,
50,jkaddour,543195,,0.418918919,
51,Phlogiston90,546003,,0.418918919,
