Rank,Team,Run,,F1 (macro),
1,BolzanoWeierstrass,545667,,0.692457249,
2,Ferrari_1996,547111,,0.686888454,
3,julianfmack,548742,,0.666048237,
4,map18,548527,,0.652777778,
5,FraserPrice,544332,,0.651142508,
6,ib_john,548707,,0.648093842,
7,tarunsab,547246,,0.642790698,
8,acambray,547543,,0.64,
9,vhsamy,548762,,0.639350831,
10,bld18,547332,,0.63800905,
11,jb3818,548570,,0.636498267,
12,PV318,548567,,0.636498267,
13,ShawnGung,547103,,0.607779049,
14,KC3718,548670,,0.606885255,
15,Cijee,547763,,0.605555735,
16,binxuankong,547230,,0.603130857,
17,p-christ,547302,,0.599904739,
18,Ruichen.Z,548818,,0.578497882,
19,j4freeman,546014,,0.577905159,
20,hatzgionule,547284,,0.575471698,
21,RyanOng,547319,,0.566666667,
22,az4918,548825,,0.563636364,
23,christololov,547249,,0.560707749,
24,alextoma96,547341,,0.537777778,
25,hannahchong,544404,,0.537777778,
26,stefan.lauren,547711,,0.528167582,
27,Marttinho,548603,,0.518647887,
28,TomFrench,548735,,0.51863047,
29,xiaoxi,546060,,0.508837209,
30,la1515,548646,,0.487523641,
31,gt4118,545732,,0.470198675,
32,kentheo,548758,,0.470198675,
33,Phlogiston90,546004,,0.470198675,
34,swt14,548888,,0.470198675,
35,hw2918,548341,,0.443155452,
36,eliott15,548594,,0.417529078,
37,krd115,548706,,0.14510608,
38,tn,548651,,0.111189118,
39,Nickeilf,548675,,0.101123596,
