Rank,Team,Run,,F1 (macro),
1,julianfmack,548743,,0.551779972,
2,gregorwiedemann,543528,,0.547501748,
3,FraserPrice,544351,,0.540464117,
4,ShawnGung,547105,,0.533358321,
5,stefan.lauren,548347,,0.53136273,
6,Cijee,547764,,0.52561741,
7,acambray,547552,,0.524457735,
8,p-christ,547611,,0.516539181,
9,Ferrari_1996,547118,,0.51610356,
10,vhsamy,547271,,0.488957775,
11,xiaoxi,546061,,0.483938256,
12,alextoma96,547298,,0.481464709,
13,Frisio41,548814,,0.47921233,
14,Ruichen.Z,547758,,0.46845838,
15,RyanOng,547628,,0.46270442,
16,BolzanoWeierstrass,547358,,0.461775362,
17,gt4118,545733,,0.457864042,
18,jb3818,548579,,0.452300997,
19,PV318,548582,,0.452300997,
20,KC3718,548671,,0.451753341,
21,map18,547238,,0.449616283,
22,Nickeilf,548702,,0.441716709,
23,christololov,547250,,0.441269841,
24,j4freeman,546013,,0.43697479,
25,az4918,548838,,0.419355572,
26,Marttinho,548602,,0.401153676,
27,ib_john,548723,,0.400910364,
28,tarunsab,548588,,0.393563097,
29,binxuankong,545389,,0.39298893,
30,TomFrench,548737,,0.368422688,
31,hatzgionule,547287,,0.351042269,
32,hannahchong,544403,,0.321110181,
33,eliott15,548595,,0.300019037,
34,nlpnlpnlp,546801,,0.212992545,
35,Phlogiston90,546005,,0.212992545,
36,tn,548652,,0.212992545,
